uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil_2010,pib_real_mil_lag1,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,deflator_medio_2010
RS,Rio Grande do Sul,43,2011,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,265056416,255056556.77714324,247553638.9039051,3.0308251199452574,19.356995869813563,6.503109040628852,106.50310904062886,103.92064385609744
RS,Rio Grande do Sul,43,2012,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,287587019,262549908.31851354,255056556.77714324,2.9379176273902408,19.385951748851788,5.838568997639149,112.7213665465968,109.53613385044972
RS,Rio Grande do Sul,43,2013,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,332292726,285641731.042292,262549908.31851354,8.795212640396176,19.4702488948505,5.910818080013791,119.38412146047168,116.33199560424204
RS,Rio Grande do Sul,43,2014,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,357816424,289273471.01777136,285641731.042292,1.2714318605433927,19.48288306514628,6.407616596391952,127.0337982406296,123.69486311381031
RS,Rio Grande do Sul,43,2015,0,1,0,68486044.08721,30139172.17057,-1777129.95082,NA,50806614.84246,1664534.5799,2.2723266485097615,-0.05896412617979316,0.05522827801904155,381992601,283241363.50819355,289273471.01777136,-2.085261219549317,19.461809966703896,10.673497995621716,140.59274814960534,134.8646949967637
RS,Rio Grande do Sul,43,2016,0,0,0,73796963.28316,34654897.4103,854663.46944,NA,54840409.03405,603396.4018999999,2.1294815104899527,0.024662126663401406,0.017411576631032263,408789528,278749407.3724573,283241363.50819355,-1.585911068955248,19.44582375471825,6.288055054224495,149.4332975554997,146.65126353211818
RS,Rio Grande do Sul,43,2017,0,0,1,76703155.00989999,35045932.696940005,-422492.3296,NA,59381280.51657,1290168.16974,2.1886464164954935,-0.012055388374266023,0.03681363486304502,423270047,279008051.36776924,278749407.3724573,0.09278728078740972,19.44675119731825,2.9473499083459087,153.83761971404,151.70531636095134
RS,Rio Grande do Sul,43,2018,1,0,0,84197552.15986,37773288.19339,793908.0637899999,52006437.4802,51097746.91514,2571499.6458,2.2290236351357375,0.02101771123883589,0.06807719869751742,457293958,290779554.0224191,279008051.36776924,4.21905482545859,19.48807599173785,3.7454821218273926,159.59958025707417,157.26482542329737
RS,Rio Grande do Sul,43,2019,0,1,0,89255394.238,39779435.77647,669382.3771599999,53987342.9349,52865347.78402,3273164.72987,2.2437571698992174,0.016827347198221133,0.08228283448419636,482464177,295744290.20649844,290779554.0224191,1.707388334358817,19.505005754487623,4.306039984113186,166.4720019974206,163.13558468470433
RS,Rio Grande do Sul,43,2020,0,0,0,93262905.40812,42073517.60888,2864911.31081,46785027.16252,41964003.66906,2938409.91766,2.216665273274798,0.06809298279840843,0.06983989180500139,470941846,279698479.5858142,295744290.20649844,-5.425569031097965,19.4492227222826,4.517341500509864,173.9921108303797,168.37483231849694
RS,Rio Grande do Sul,43,2021,0,0,1,98327576.54386,53878109.95644,4657861.2424099995,54026367.59858,47461778.8296,2790613.44519,1.825000480220205,0.08645183073748951,0.05179493949298124,581283677,318769076.503807,279698479.5858142,13.968827065434786,19.57997750050118,10.061054893257904,191.49755261096232,182.35259309823857
RS,Rio Grande do Sul,43,2022,1,0,0,100842876.94111,50634029.84959,1352248.88778,53775025.86121,50321671.71923,1261257.76557,1.991602826017739,0.026706325603490347,0.024909290635499612,593633656,297897005.952982,318769076.503807,-6.547708698643396,19.512258367122705,5.784841959607778,202.57538338602325,199.27479771102333
RS,Rio Grande do Sul,43,2023,0,1,0,104898747.72642,56639116.67626,3009619.95473,75931085.57039,71138099.94405,1471988.50908,1.852054796793605,0.05313677421794021,0.025988902996027418,NA,NA,297897005.952982,NA,NA,4.621113930566767,211.93662264757376,208.42854514019308
RS,Rio Grande do Sul,43,2024,0,0,0,110719293.63326,60043883.38248,2156932.13084,79898987.7755,75375677.82161,852758.3754299999,1.8439728977550842,0.03592259543075064,0.01420225220940362,NA,NA,NA,NA,NA,4.831295791859613,222.17590777895543,217.53149085344668
